Accession	Kingdom	Family	Genus	Species	Molecule_type	Length	Nuc_Completeness	Geo_Location	BioSample	Lat_long	Gene_Description	Host	Host_Disease
GCA_000184325.1	Bacteria	Vibrionaceae	Vibrio	Vibrio furnissii NCTC 11218|DSM 14383|WDCM 00186|2510/74|VL 6966	dsDNA	4916408	Complete	United Kingdom:The Humber	SAMN02603955		Vibrio furnissii NCTC 11218|DSM 14383|WDCM 00186|2510/74|VL 6966 genome	Oncorhynchus mykiss	Acute gastroenteritis
GCA_000732905.1	Bacteria	Lactobacillaceae	Weissella	Weissella ceti WS08	dsDNA	1355853	Complete	Brazil	SAMN02716090		Weissella ceti WS08 genome	Litopenaeus vannamei	Acute hemorrhagic septicemia and high mortality
GCA_002142655.1	Bacteria	Vibrionaceae	Vibrio	Vibrio campbellii LA16-V1	dsDNA	1355853	Complete	Ecuador:Guayas Province	SAMN06909310		Vibrio campbellii LA16-V1 genome	Litopenaeus vannamei	Acute hepatopancreatic necrosis
GCA_002140055.1	Bacteria	Vibrionaceae	Vibrio	Vibrio campbellii 20130629003S01	dsDNA	6371321	Complete	China:Guangxi Zhuang Autonomous Region	SAMN06310879		Vibrio campbellii 20130629003S01 genome	Montipora capitata	Acute hepatopancreatic necrosis disease (AHPND)
GCA_000788395.1	Bacteria	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas piratica OCN003	dsDNA	4815987	Complete	USA:Hawaii	SAMN03160553		Pseudoalteromonas piratica OCN003 genome	Seriola quinqueradiata	Acute Montipora white syndrome
GCA_000221005.1	Bacteria	Brucellaceae	Brucella	Brucella pinnipedialis B2/94|NCTC 12890	dsDNA	3399268	Complete	United Kingdom:Scotland	SAMN02603341		Brucella pinnipedialis B2/94|NCTC 12890 genome	Crassostrea gigas	Animal pathogen
GCA_003721455.1	Bacteria	Shewanellaceae	Shewanella	Shewanella algae KC-Na-R1	dsDNA	5203444	Complete	South Korea:South Korea	SAMN10373660		Shewanella algae KC-Na-R1 genome		Animal pathogen
GCA_002356035.1	Bacteria	Nocardiaceae	Nocardia	Nocardia seriolae UTF1	dsDNA	5203444	Complete	Japan:Miyazaki Prefecture	SAMD00066002		Nocardia seriolae UTF1 genome	Mercenaria mercenaria	Aocardiosis
GCA_013266595.1	Bacteria	Vibrionaceae	Vibrio	Vibrio coralliilyticus	dsDNA	5407000	Contig	USA:inshore coral nursery, Key West, FL	SAMN14533312	26.23 N 80.08 W	Vibrio coralliilyticus genome	Montastraea cavernosa	Apparently healthy
GCA_013266565.1	Bacteria	Vibrionaceae	Vibrio	Vibrio coralliilyticus	dsDNA	5408120	Contig	USA:inshore coral nursery, Key West, FL	SAMN14533315	26.23 N 80.08 W	Vibrio coralliilyticus genome	Montastraea cavernosa	Apparently healthy
GCA_013266555.1	Bacteria	Vibrionaceae	Vibrio	Vibrio coralliilyticus	dsDNA	5295940	Contig	USA:inshore coral nursery, Key West, FL	SAMN14533316	26.23 N 80.08 W	Vibrio coralliilyticus genome	Colpophyllia natans	Apparently healthy
GCA_013266605.1	Bacteria	Vibrionaceae	Vibrio	Vibrio coralliilyticus	dsDNA	5470920	Contig	USA:inshore coral nursery, Key West, FL	SAMN14533317	26.23 N 80.08 W	Vibrio coralliilyticus genome	Colpophyllia natans	Apparently healthy
GCA_000772105.1	Bacteria	Vibrionaceae	Vibrio	Vibrio tubiashii DSM 19142|ATCC 19109|CAIM 313|CCUG 19118|CIP 102760|LMG 10936|NCIMB 1340	dsDNA	8121733	Complete	USA:Long Island Sound	SAMN02940924		Vibrio tubiashii DSM 19142|ATCC 19109|CAIM 313|CCUG 19118|CIP 102760|LMG 10936|NCIMB 1340 genome	Crassostrea gigas	Bacillary necrosis
